PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),535 nm Activity,535 nm Potency (uM),535 nm Efficacy (%),590 nm Activity,590 nm Potency (uM),590 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source,standardised_smiles
4158,144207711.0,197873.0,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.Cl,Active,69.0,,,active antagonist,active antagonist,1.65803,-115.241,active agonist,43.2771,553.775,active antagonist,1.72289,-90.144,active agonist,33.082,80.9078,SigmaAldrich,Cl.Nc1ccc2cc3ccc(N)cc3nc2c1
4166,144207719.0,12867.0,CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C,Active,47.0,,,active antagonist,active antagonist,18.6034,-72.749,active agonist,5.44827,32.1755,active antagonist,27.306,-82.6882,inconclusive antagonist,,,SigmaAldrich,CC(C)(C)C1=CC(=O)C=C(C(C)(C)C)C1=O
4168,144207721.0,67299.0,C1=C(C(=CC(=C1O)Cl)Cl)O,Active,54.0,,,active antagonist,active antagonist,9.5518,-100.085,inconclusive agonist,,26.084,active antagonist,9.5518,-93.5712,inactive,,0,SigmaAldrich,Oc1cc(O)c(Cl)cc1Cl
4185,144207738.0,14138.0,CCCCCCCOC(=O)C1=CC=C(C=C1)O,Active,54.0,,,active antagonist,active antagonist,10.0778,-104.929,active agonist,43.3211,101.423,active antagonist,12.6872,-84.2836,inconclusive antagonist,,-34.9661,SigmaAldrich,CCCCCCCOC(=O)c1ccc(O)cc1
4187,144207740.0,83050.0,C1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)O,Active,46.0,,,active antagonist,active antagonist,27.7231,-86.6556,inactive,,0,active antagonist,27.7231,-83.0012,inactive,,0,SigmaAldrich,O=C(c1ccccc1)c1cccc(O)c1
4188,144207741.0,8570.0,COC1=CC(=C(C=C1)C(=O)C2=C(C=C(C=C2)OC)O)O,Active,54.0,,,active antagonist,active antagonist,7.7507,-94.7852,inactive,,0,active antagonist,9.03665,-98.5496,inactive,,0,SigmaAldrich,COc1ccc(C(=O)c2ccc(OC)cc2O)c(O)c1
4191,144207744.0,17569.0,CCCCCCCCCCCCOC(=O)C1=CC=C(C=C1)O,Active,60.0,,,active antagonist,active antagonist,4.19444,-107.264,active agonist,38.8455,35.2586,active antagonist,3.88455,-94.1603,inactive,,0,SigmaAldrich,CCCCCCCCCCCCOC(=O)c1ccc(O)cc1
4193,144207746.0,586708.0,CCCCCCCCCOC(=O)C1=CC=C(C=C1)O,Active,59.0,,,active antagonist,active antagonist,4.43307,-100.511,active agonist,53.7079,72.5497,active antagonist,6.02613,-75.2337,active antagonist,23.0872,-23.1822,Interchem,CCCCCCCCCOC(=O)c1ccc(O)cc1
4194,144207747.0,56638112.0,COC1=CC(=C(C=C1)C(=O)C2=CC(=CC=C2)O)OC,Active,44.0,,,active antagonist,active antagonist,30.5756,-66.0611,active agonist,48.459,65.7433,active antagonist,52.3248,-42.5361,inactive,,0,SigmaAldrich,COc1ccc(C(=O)c2cccc(O)c2)c(OC)c1
4196,144207749.0,23019.0,CCCCCOC(=O)C1=CC=C(C=C1)O,Active,57.0,,,active antagonist,active antagonist,8.7404,-118.606,active agonist,26.599,81.1761,active antagonist,9.08235,-109.696,active antagonist,28.7209,-29.963,SigmaAldrich,CCCCCOC(=O)c1ccc(O)cc1
4199,144207752.0,6620.0,CC1=C(C=CC(=C1)C(C)(C)C2=CC(=C(C=C2)O)C)O,Active,57.0,,,active antagonist,active antagonist,8.87992,-118.111,active agonist,12.071,39.5583,active antagonist,9.58832,-102.812,inactive,,0,SigmaAldrich,Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O
4200,144207753.0,608116.0,CC(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Active,49.0,,,active antagonist,active antagonist,27.6353,-127.336,active agonist,17.4367,115.172,active antagonist,61.8676,-96.4415,inactive,,0,SigmaAldrich,CC(c1ccc(O)cc1)c1ccc(O)cc1
4202,144207755.0,6619.0,CC(C)(C1=CC(=C(C(=C1)Cl)O)Cl)C2=CC(=C(C(=C2)Cl)O)Cl,Active,62.0,,,active antagonist,active antagonist,5.24314,-121.809,active agonist,17.903,330.846,inconclusive antagonist,61.1306,-75.5952,inactive,,0,Sensient,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1
4203,144207756.0,84677.0,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)O)O,Active,51.0,,,active antagonist,active antagonist,19.2919,-115.345,inconclusive agonist,45.7482,21.6019,active antagonist,20.0466,-112.357,inconclusive antagonist,,-36.1061,SigmaAldrich,Oc1ccc(C(=C(Cl)Cl)c2ccc(O)cc2)cc1
4204,144207757.0,102724.0,C1CC2C(C1)C3CC2CC3(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,Active,45.0,,,active antagonist,active antagonist,41.5664,-113.108,inactive,,0,active antagonist,50.3589,-117.195,inactive,,0,Alfa Aesar,Oc1ccc(C2(c3ccc(O)cc3)CC3CC2C2CCCC32)cc1
4205,144207758.0,6799.0,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Cl)O,Active,46.0,,,active antagonist,active antagonist,29.0867,-85.0488,inactive,,0,active antagonist,30.2246,-85.8584,inactive,,0,SigmaAldrich,O=C(c1ccccc1)c1cc(Cl)ccc1O
4206,144207759.0,8633.0,CC1CCC(C(C1)OC(=O)C2=CC=CC=C2N)C(C)C,Active,48.0,,,active antagonist,active antagonist,21.3815,-96.1554,inactive,,0,active antagonist,23.0872,-97.2155,inactive,,0,SIGMA,CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1
4207,144207760.0,60196294.0,CC1=CC=C(C=C1)C=C2C3CCC(C2=O)C3(C)C,Active,42.0,,,active antagonist,active antagonist,57.3004,-85.7003,inactive,,0,inconclusive antagonist,48.2123,-84.4208,inconclusive antagonist,,-32.0128,SigmaAldrich,Cc1ccc(C=C2C(=O)C3CCC2C3(C)C)cc1
4221,144207774.0,3015167.0,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],Active,75.0,,,active antagonist,active antagonist,0.184899,-91.403,active antagonist,8.91802,-51.8885,active antagonist,0.192133,-97.4665,active antagonist,29.3045,-109.177,Cytec,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-]
4226,144207779.0,22678982.0,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.C(F)(F)(F)S(=O)(=O)[O-],Active,60.0,,,active antagonist,active antagonist,2.16458,-86.4122,active antagonist,13.6576,-42.1051,active antagonist,2.33726,-96.0577,active antagonist,27.2505,-99.1073,Io-li-tec,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])C(F)(F)F
4237,144207790.0,11461044.0,[B-](F)(F)(F)F.CCCCCCCCCCN1C=C[N+](=C1)C,Active,53.0,,,active antagonist,active antagonist,3.87277,-67.7198,inactive,,0,active antagonist,3.07625,-62.8282,inactive,,0,Io-li-tec,CCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
4238,144207791.0,22239085.0,CCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],Active,54.0,,,active antagonist,active antagonist,1.66962,-56.5017,inactive,,0,active antagonist,1.57622,-49.0449,inactive,,0,Io-li-tec,CCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
4240,144207793.0,2734227.0,CCCCCCCCCCCCN1C=C[N+](=C1)C.[Cl-],Active,54.0,,,active antagonist,active antagonist,13.2238,-118.58,active antagonist,31.966,-41.1054,active antagonist,8.67006,-116.088,inactive,,0,Io-li-tec,CCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
4241,144207794.0,10250129.0,CCCCCCCCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,Active,58.0,,,active antagonist,active antagonist,3.71186,-92.3363,active antagonist,30.6379,-42.652,active antagonist,3.18365,-99.5266,active antagonist,0.153553,-21.9871,Io-li-tec,CCCCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
4269,144207822.0,13619.0,C1=C(C=C(C(=C1O)Cl)Cl)Cl,Active,57.0,,,active antagonist,active antagonist,5.79987,-98.5256,inactive,,0,active antagonist,5.58151,-88.8169,inactive,,0,SIGMA,Oc1cc(Cl)cc(Cl)c1Cl
4276,144207829.0,6929.0,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CO,Active,42.0,,,active antagonist,active antagonist,57.7098,-91.9665,inactive,,0,inconclusive antagonist,55.5371,-74.6657,inactive,,0,SigmaAldrich,CC(C)(C)c1cc(CO)cc(C(C)(C)C)c1O
4296,144207849.0,7543.0,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,Active,43.0,,,active antagonist,active antagonist,49.1446,-98.4401,inconclusive agonist,,30.3978,inconclusive antagonist,46.9328,-82.4968,inactive,,0,SIGMA,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl
4299,144207852.0,5366546.0,CC(C)OC(=O)/C=C(\C)/C=C/CC(C)CCCC(C)(C)OC,Active,43.0,,,active antagonist,active antagonist,20.1439,-43.4885,inactive,,0,active antagonist,10.6941,-50.7371,inactive,,0,SIGMA,COC(C)(C)CCCC(C)C/C=C/C(C)=C/C(=O)OC(C)C
4304,144207857.0,22833294.0,CC1(C(=C)[C@@]2(C([C@]1(C(C2(Cl)Cl)(Cl)Cl)Cl)Cl)Cl)C,Active,53.0,,,active antagonist,active antagonist,12.9295,-109.66,inactive,,0,active antagonist,12.9295,-99.687,inactive,,0,ChemService,C=C1C(C)(C)[C@@]2(Cl)C(Cl)[C@]1(Cl)C(Cl)(Cl)C2(Cl)Cl
4307,144207860.0,67349.0,C[Si](C1=CC=CC=C1)(C2=CC=CC=C2)Cl,Active,46.0,,,active antagonist,active antagonist,34.8149,-101.378,inactive,,0,active antagonist,34.8149,-88.2865,inactive,,0,SigmaAldrich,C[Si](Cl)(c1ccccc1)c1ccccc1
4308,144207861.0,77929.0,CC(=O)O[Si](C)(OC(=O)C)OC(=O)C,Active,44.0,,,active antagonist,active antagonist,29.0682,-66.6281,inactive,,0,inconclusive antagonist,41.8554,-65.6338,inactive,,0,SigmaAldrich,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O
4316,144207869.0,20250.0,C1=CC(=C(C=C1Cl)Cl)C(=O)CCl,Active,44.0,,,active antagonist,active antagonist,43.0572,-93.322,inactive,,0,active antagonist,49.2469,-91.7512,inactive,,0,SIGMA,O=C(CCl)c1ccc(Cl)cc1Cl
4320,144207873.0,7258.0,C1=CC(=C(C=C1O)Cl)Cl,Active,55.0,,,active antagonist,active antagonist,9.18173,-103.565,inconclusive agonist,,25.4879,active antagonist,9.54094,-92.4081,inconclusive antagonist,26.89,-28.6793,SIGMA,Oc1ccc(Cl)c(Cl)c1
4321,144207874.0,727.0,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,Active,41.0,,,active antagonist,active antagonist,49.0025,-54.1448,inactive,,0,active antagonist,57.1327,-44.7534,inactive,,0,SigmaAldrich,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
4324,144207877.0,9483.0,C1=CC(=CC(=C1)N=C=O)C(F)(F)F,Active,65.0,,,active antagonist,active antagonist,3.28466,-118.986,active agonist,54.0951,82.4405,active antagonist,3.161,-98.1153,active antagonist,13.5881,-27.4914,SigmaAldrich,O=C=Nc1cccc(C(F)(F)F)c1
4340,144207893.0,11460221.0,[B-](F)(F)(F)F.CCCCCCCCN1C=C[N+](=C1)C,Active,52.0,,,active antagonist,active antagonist,5.65566,-72.8046,inactive,,0,active antagonist,5.87692,-57.274,inactive,,0,Io-li-tec,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
4342,144207895.0,11375816.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],Active,74.0,,,active antagonist,active antagonist,0.77272,-112.871,active antagonist,13.7411,-51.7206,active antagonist,0.834364,-102.092,active antagonist,41.0225,-100.114,Io-li-tec,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-]
4350,144207903.0,10236.0,C1=CC=C2C(=C1)C(=O)C(C2=O)(O)O,Active,45.0,,,active antagonist,active antagonist,31.9984,-86.2523,inactive,,0,active antagonist,27.4449,-79.3177,inactive,,0,SIGMA,O=C1c2ccccc2C(=O)C1(O)O
4353,144207906.0,16212746.0,CCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],Active,48.0,,,active antagonist,active antagonist,8.37747,-57.6877,inactive,,0,active antagonist,8.06207,-57.0818,inactive,,0,Io-li-tec,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
4361,144207914.0,69917.0,C1=CC(=CC=C1C(=O)NC2=CC=C(C=C2)N)N,Active,60.0,,,active antagonist,active antagonist,3.71564,-99.9545,inactive,,0,active antagonist,2.63047,-98.5071,inactive,,0,SigmaAldrich,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1
4370,144207923.0,3378440.0,C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,Active,78.0,,,active antagonist,active antagonist,0.073384,-86.3802,active antagonist,18.4332,-85.4925,active antagonist,0.073384,-89.0573,active antagonist,36.7791,-104.773,SIGMA,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21
4374,144207927.0,7495.0,CCOC1=CC=C(C=C1)[N+](=O)[O-],Active,57.0,,,active antagonist,active antagonist,5.52593,-96.9731,active agonist,55.2593,46.8272,active antagonist,6.44276,-90.3998,inconclusive antagonist,,,Interchem,CCOc1ccc([N+](=O)[O-])cc1
4379,144207932.0,10941.0,C1=CC(=CC(=C1)N)N.Cl.Cl,Active,46.0,,,active antagonist,active antagonist,10.8486,-50.4149,inactive,,0,inconclusive antagonist,17.1939,-61.7357,inactive,,0,SigmaAldrich,Cl.Cl.Nc1cccc(N)c1
4388,144207941.0,7331.0,COC1=C(C=C(C=C1)C(=O)NC2=CC=CC=C2)[N+](=O)[O-],Active,54.0,,,active antagonist,active antagonist,11.3765,-106.12,inactive,,0,active antagonist,16.6984,-120.623,active antagonist,59.2481,-40.124,SIGMA,COc1ccc(C(=O)Nc2ccccc2)cc1[N+](=O)[O-]
4392,144207945.0,11872.0,CC1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],Active,48.0,,,active antagonist,active antagonist,26.5454,-109.175,inactive,,0,active antagonist,23.6586,-89.6399,inactive,,0,Alfa Aesar,Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
4394,144207947.0,6815.0,CCCC(C1=CC(=C(C=C1C)O)C(C)(C)C)C2=CC(=C(C=C2C)O)C(C)(C)C,Active,58.0,,,active antagonist,active antagonist,5.51482,-105.845,active agonist,58.416,209.823,active antagonist,5.30719,-96.3802,inconclusive antagonist,39.042,-114.689,Sensient,CCCC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C
4395,144207948.0,16212610.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F,Active,74.0,,,active antagonist,active antagonist,0.431451,-101.119,active antagonist,8.28448,-54.709,active antagonist,0.448331,-106.502,active antagonist,60.9441,-69.6902,Io-li-tec,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.F[P-](F)(F)(F)(F)F
4413,144207966.0,2734243.0,CCCCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,Active,52.0,,,active antagonist,active antagonist,8.23486,-79.3441,inactive,,0,active antagonist,4.9052,-54.7713,inactive,,0,Io-li-tec,CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
4434,144207987.0,22463.0,C1=CC2=C(C=CC(=C2)SSC3=CC4=C(C=C3)C=C(C=C4)O)C=C1O,Active,45.0,,,active antagonist,active antagonist,40.1205,-110.203,inactive,,0,active antagonist,46.7771,-112.016,inactive,,0,SIGMA,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1
4442,144207995.0,93221.0,CC1=CC(=C(C(=C1CN2C(=O)N(C(=O)N(C2=O)CC3=C(C(=C(C=C3C)C(C)(C)C)O)C)CC4=C(C(=C(C=C4C)C(C)(C)C)O)C)C)O)C(C)(C)C,Active,52.0,,,active antagonist,active antagonist,12.1972,-98.0495,inconclusive agonist,,24.7724,active antagonist,12.6743,-81.3534,inactive,,0,SigmaAldrich,Cc1cc(C(C)(C)C)c(O)c(C)c1Cn1c(=O)n(Cc2c(C)cc(C(C)(C)C)c(O)c2C)c(=O)n(Cc2c(C)cc(C(C)(C)C)c(O)c2C)c1=O
4452,144208005.0,6979.0,C1=CC(=C(C=C1Cl)[N+](=O)[O-])N,Active,42.0,,,active antagonist,active antagonist,56.0389,-81.7481,inactive,,0,active antagonist,58.2313,-76.3786,inactive,,0,SIGMA,Nc1ccc(Cl)cc1[N+](=O)[O-]
4454,144208007.0,16218822.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],Active,68.0,,,active antagonist,active antagonist,0.837747,-95.8069,active antagonist,15.4803,-60.7836,active antagonist,0.904579,-99.1574,active antagonist,38.8848,-114.971,Io-li-tec,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-]
4475,144208028.0,5897.0,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2,Active,43.0,,,active antagonist,active antagonist,36.2667,-63.4449,inconclusive agonist,,26.5307,inconclusive antagonist,46.5416,-64.3489,inactive,,0,Acros,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
4491,144208044.0,16420.0,C1=CC(=CC=C1C2=CSC(=N2)N)[N+](=O)[O-],Active,51.0,,,active antagonist,active antagonist,3.89634,-59.274,inactive,,0,active antagonist,3.47261,-59.4421,inactive,,0,SigmaAldrich,Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1
4511,144208064.0,73773.0,CN(C)C1=CC=C(C=C1)C2(C3=C(C=C(C=C3)N(C)C)C(=O)O2)C4=CC=C(C=C4)N(C)C,Active,46.0,,,active antagonist,active antagonist,12.1599,-55.7874,inconclusive agonist,15.3085,38.7939,active antagonist,13.6437,-33.8593,inconclusive antagonist,,-26.295,SIGMA,CN(C)c1ccc(C2(c3ccc(N(C)C)cc3)OC(=O)c3cc(N(C)C)ccc32)cc1
4517,144208070.0,8540.0,C1CCC(CC1)C2=C(C(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-])O,Active,72.0,,,active antagonist,active antagonist,0.282878,-88.4457,active antagonist,48.4096,-72.6582,active antagonist,0.293944,-83.6171,active antagonist,0.342714,-21.3837,ChemService,O=[N+]([O-])c1cc(C2CCCCC2)c(O)c([N+](=O)[O-])c1
4527,144208080.0,5354284.0,CC1=CC(=O)OC2=CC(=CC(=C12)O)O,Active,43.0,,,active antagonist,active antagonist,51.5919,-82.7275,inactive,,0,active antagonist,54.6489,-73.0003,inactive,,0,SIGMA,Cc1cc(=O)oc2cc(O)cc(O)c12
4533,144208086.0,7120.0,CCN(CC)C1=CC=C(C=C1)N,Active,44.0,,,active antagonist,active antagonist,49.894,-103.376,inconclusive antagonist,,-35.4322,active antagonist,47.103,-110.518,inconclusive antagonist,44.4681,-26.69,SIGMA,CCN(CC)c1ccc(N)cc1
4537,144208090.0,919792.0,C1=CC(=CC=C1C(=O)C2=C(C(=C(C=C2)O)O)O)O,Active,44.0,,,active antagonist,active antagonist,28.4898,-56.2745,inactive,,0,active antagonist,27.4171,-47.4317,inactive,,0,Interchem,O=C(c1ccc(O)cc1)c1ccc(O)c(O)c1O
4540,144208093.0,7230.0,CC(C)(C)NSC1=NC2=CC=CC=C2S1,Active,44.0,,,active antagonist,active antagonist,22.0655,-54.1583,inactive,,0,active antagonist,21.2347,-39.7815,inactive,,0,SigmaAldrich,CC(C)(C)NSc1nc2ccccc2s1
4542,144208095.0,98613.0,C1=CC=C(C=C1)C2=CSC(=N2)NN,Active,67.0,,,active antagonist,active antagonist,2.31818,-117.836,inactive,,0,active antagonist,2.91841,-97.8094,inactive,,0,SigmaAldrich,NNc1nc(-c2ccccc2)cs1
4544,144208097.0,69026.0,C([N+](=O)[O-])(Br)Br,Active,42.0,,,active antagonist,active antagonist,68.7291,-111.371,inactive,,0,active antagonist,68.7291,-96.6535,inactive,,0,LKT Lab,O=[N+]([O-])C(Br)Br
4549,144208102.0,17231.0,CCCCCCCCOC1=CC=C(C=C1)C(=O)O,Active,45.0,,,active antagonist,active antagonist,39.6318,-100.083,inconclusive agonist,67.8231,81.6891,inconclusive antagonist,67.8231,-92.3356,inconclusive agonist,53.8738,38.8761,SIGMA,CCCCCCCCOc1ccc(C(=O)O)cc1
4551,144208104.0,5930.0,CNC1=CC=C(C=C1)O.CNC1=CC=C(C=C1)O.OS(=O)(=O)O,Active,46.0,,,active antagonist,active antagonist,13.6576,-54.1736,active antagonist,54.3719,-74.7603,active antagonist,34.3063,-93.5421,inactive,,0,SIGMA,CNc1ccc(O)cc1.CNc1ccc(O)cc1.O=S(=O)(O)O
4553,144208106.0,14642.0,CCCCCCCCOC(=O)C1=CC=C(C=C1)O,Active,50.0,,,active antagonist,active antagonist,14.1775,-91.9926,active agonist,60.9441,56.1688,active antagonist,15.3085,-84.2776,inconclusive antagonist,,-34.8655,SigmaAldrich,CCCCCCCCOC(=O)c1ccc(O)cc1
4554,144208107.0,11334.0,C1=CC(=C(C(=C1)Cl)Cl)O,Active,43.0,,,active antagonist,active antagonist,56.8445,-98.7952,inactive,,0,active antagonist,59.0684,-87.9942,inactive,,0,SIGMA,Oc1cccc(Cl)c1Cl
4555,144208108.0,13636.0,C1=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl,Active,55.0,,,active antagonist,active antagonist,6.41929,-94.395,inconclusive agonist,,29.2166,active antagonist,7.48435,-86.1572,inactive,,0,SIGMA,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
4574,144208127.0,6537499.0,C[C@@H]1CC2(C3C(O3)(C(O2)O)C)OC4C1[C@]5(CC[C@@]67C[C@@]68CCC(C([C@@H]8CC=C7[C@@]5(C4)C)(C)C)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)C,Active,48.0,,,active antagonist,active antagonist,8.52516,-58.1378,inactive,,0,active antagonist,7.59806,-56.0434,inactive,,0,SV Chembiotech,C[C@@H]1CC2(OC3C[C@@]4(C)C5=CC[C@H]6C(C)(C)C(O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)CC[C@@]67C[C@@]57CC[C@]4(C)C31)OC(O)C1(C)OC21
4576,144208129.0,11571.0,C1=C(C=C(C=C1Cl)Cl)O,Active,53.0,,,active antagonist,active antagonist,9.78715,-96.4498,inactive,,0,active antagonist,10.5679,-89.6899,inactive,,0,SIGMA,Oc1cc(Cl)cc(Cl)c1
4577,144208130.0,5801.0,C1=CC=C(C(=C1)N)O,Active,41.0,,,active antagonist,active antagonist,56.9489,-62.1105,inactive,,0,inconclusive antagonist,56.9489,-57.2695,inactive,,0,SIGMA,Nc1ccccc1O
4608,144208161.0,14709.0,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CCC4=O)C)C,Active,41.0,,,active antagonist,active antagonist,61.1306,-67.2435,inactive,,0,inconclusive antagonist,61.1306,-59.5849,inactive,,0,SigmaAldrich,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]32)C1
4615,144208168.0,18728.0,C1CC(C(CC1C(CBr)Br)Br)Br,Active,46.0,,,active antagonist,active antagonist,29.3345,-94.7903,inactive,,0,active antagonist,39.876,-103.113,inactive,,0,SIGMA,BrCC(Br)C1CCC(Br)C(Br)C1
4618,144208171.0,17570.0,C1=CC(=CC=C1O)SC2=CC=C(C=C2)O,Active,49.0,,,active antagonist,active antagonist,21.0797,-99.7643,active agonist,42.0595,65.6754,active antagonist,24.5771,-84.4057,inactive,,0,SigmaAldrich,Oc1ccc(Sc2ccc(O)cc2)cc1
4625,144208178.0,11990.0,C1=CC=C(C(=C1)N)N.Cl.Cl,Active,73.0,,,active antagonist,active antagonist,0.442913,-98.8656,active agonist,23.0667,89.3325,active antagonist,0.394747,-83.111,inactive,,0,Alfa Aesar,Cl.Cl.Nc1ccccc1N
4632,144208185.0,10635.0,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C,Active,44.0,,,active antagonist,active antagonist,29.1249,-67.9638,active agonist,53.8185,34.1053,inconclusive antagonist,53.8185,-54.8306,inactive,,0,SIGMA,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
4633,144208186.0,20167.0,C1=CC=C(C=C1)C(=O)OCC(COC(=O)C2=CC=CC=C2)(COC(=O)C3=CC=CC=C3)COC(=O)C4=CC=CC=C4,Active,51.0,,,active antagonist,active antagonist,4.31891,-62.6232,inactive,,0,active antagonist,6.46211,-43.2796,inactive,,0,SIGMA,O=C(OCC(COC(=O)c1ccccc1)(COC(=O)c1ccccc1)COC(=O)c1ccccc1)c1ccccc1
4639,144208192.0,6537489.0,C1=NC2C(N1)C(=S)NC=N2.O,Active,45.0,,,active antagonist,active antagonist,4.85577,-32.9241,inactive,,0,active antagonist,5.44827,-33.715,inactive,,0,SIGMA,O.S=C1NC=NC2N=CNC12
4654,144208207.0,7563.0,C1=CC=C(C=C1)CC2=CC=C(C=C2)O,Active,53.0,,,active antagonist,active antagonist,15.9407,-124.01,active agonist,33.6904,41.9061,active antagonist,19.3125,-110.936,inactive,,0,SigmaAldrich,Oc1ccc(Cc2ccccc2)cc1
4658,144208211.0,6371716.0,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)OCC,Active,41.0,,,active antagonist,active antagonist,49.6461,-50.9548,inactive,,0,inconclusive antagonist,59.0045,-55.6513,inactive,,0,SIGMA,CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)OCC
4662,144208215.0,232446.0,C1CCC(CC1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,Active,49.0,,,active antagonist,active antagonist,22.1873,-100.579,inactive,,0,active antagonist,25.8685,-89.2741,inactive,,0,SigmaAldrich,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1
4667,144208220.0,7308.0,CC1=CC(=C(C=C1SC2=CC(=C(C=C2C)O)C(C)(C)C)C(C)(C)C)O,Active,65.0,,,active antagonist,active antagonist,1.85655,-104.293,active agonist,62.7877,114.872,active antagonist,1.85655,-89.9622,active antagonist,61.0063,-79.5774,Pfaltz-Bauer,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C
