PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),535 nm Activity,535 nm Potency (uM),535 nm Efficacy (%),590 nm Activity,590 nm Potency (uM),590 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
4131,144207684,62130,CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31.Cl,Active,45,,,active antagonist,active antagonist,35.3582,-92.704,inactive,,0,active antagonist,28.6301,-82.8827,inactive,,0,Chemos
4132,144207685,174174,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,SIGMA
4133,144207686,5284346,O.O.[Cl-].[Cl-].[Ba+2],Active,41,,,active antagonist,active antagonist,43.8058,-44.0711,inactive,,0,active antagonist,46.4014,-43.5964,inactive,,0,SigmaAldrich
4134,144207687,146540,C1=CC=C(C=C1)CNN.Cl.Cl,Active,48,,,active antagonist,active antagonist,27.8066,-105.8,active agonist,31.1995,87.9565,active antagonist,59.9075,-94.0631,inactive,,0,SigmaAldrich
4135,144207688,7302,C1CC(=O)OC1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4136,144207689,10133,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,27.3893,51.8601,inactive,,0,inconclusive agonist,43.4092,53.1688,inactive,,0,SIGMA
4137,144207690,6209,C[N+](C)(C)CCO.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4138,144207691,14500,C1CCC(=NO)C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4139,144207692,38221,COC1=C(C=C(C=C1)N)N.OS(=O)(=O)O,Active,61,,,active antagonist,active antagonist,2.51057,-94.5287,inactive,,0,active antagonist,2.41605,-92.8495,inconclusive antagonist,63.0628,-51.1362,Alfa Aesar
4140,144207693,6673,C1C2C3CC4C(C3C1C5C2O5)O4,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4141,144207694,3081,CC1(C(=O)NC(=O)O1)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Alfa Aesar
4142,144207695,522325,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4143,144207696,14075,C1COS(=O)(=O)O1,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4144,144207697,77342,C1COS(=O)O1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4145,144207698,90547,C1=CC(=CC=C1C(=O)O)NN.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4146,144207699,20240,CC(C)COC(=O)C1=CC=C(C=C1)O,Active,50,,,active antagonist,active antagonist,14.2064,-90.9279,active agonist,33.0484,52.7484,active antagonist,17.2114,-78.2828,inactive,,0,SigmaAldrich
4147,144207700,5922,C1=CN=CC=C1C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4148,144207701,7955,C1(=NC(=NC(=N1)N)N)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4149,144207702,13622,COC1=CC=CC(=C1O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,SigmaAldrich
4150,144207703,7409,CC(C1=CC=CC=C1)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4151,144207704,7253,CC1=C(C=CC(=C1)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4152,144207705,6670,C1=CC=C2C(=C1)C=CC(=C2S(=O)(=O)O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4153,144207706,11945,C1=CC2=C(C=CC(=C2)[N+](=O)[O-])N=C1,Active,43,,,active antagonist,active antagonist,30.7314,-50.7633,inactive,,0,inconclusive antagonist,,-42.9431,inactive,,0,SigmaAldrich
4154,144207707,4594,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,Inconclusive,5,,,inconclusive,inconclusive antagonist,,-39.4936,inactive,,0,inactive,,0,inactive,,0,TCI
4155,144207708,4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,TCI
4156,144207709,13297,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O,Active,55,,,active antagonist,active antagonist,3.43413,-73.8515,active antagonist,21.6679,-77.8081,active antagonist,5.04061,-96.0431,inconclusive antagonist,38.5316,-46.8699,SigmaAldrich
4157,144207710,6956,C1=CC=C(C(=C1)C(=O)N)C(=O)N,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4158,144207711,197873,C1=CC(=CC2=NC3=C(C=CC(=C3)N)C=C21)N.Cl,Active,69,,,active antagonist,active antagonist,1.65803,-115.241,active agonist,43.2771,553.775,active antagonist,1.72289,-90.144,active agonist,33.082,80.9078,SigmaAldrich
4159,144207712,5284451,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2.C(=C\C(=O)O)\C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Interchem
4160,144207713,656582,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Sensient
4161,144207714,54704426,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4162,144207715,10891,CC1=CC=C(C=C1)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4163,144207716,7247,CC1=CC(=C(C=C1)C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4164,144207717,88898,CC1=CC(=C(C=C1)N)C.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Sensient
4165,144207718,4343483,[B-](F)(F)(F)F.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4166,144207719,12867,CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C,Active,47,,,active antagonist,active antagonist,18.6034,-72.749,active agonist,5.44827,32.1755,active antagonist,27.306,-82.6882,inconclusive antagonist,,,SigmaAldrich
4167,144207720,13203,C1CCC(=O)C(C1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4168,144207721,67299,C1=C(C(=CC(=C1O)Cl)Cl)O,Active,54,,,active antagonist,active antagonist,9.5518,-100.085,inconclusive agonist,,26.084,active antagonist,9.5518,-93.5712,inactive,,0,SigmaAldrich
4169,144207722,11701,CC(C)(CC(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4170,144207723,12681,CC(C)(CCC(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4171,144207724,12372,CCCCCCC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4172,144207725,7420,C1=CC(=CC(=C1)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4173,144207726,12244,CC(C)CC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4174,144207727,12046,CC(CCC(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4175,144207728,11262,CCC(C)C(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4176,144207729,10457,C(CCCC(=O)O)CCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4177,144207730,74563,CCCC(=O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4178,144207731,999,C1=CC=C(C=C1)CC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4179,144207732,867,C(C(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4180,144207733,8256,C(=O)C(Br)(Br)Br,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,34.2714,-104.303,active agonist,46.587,38.8343,active antagonist,35.6122,-107.919,active antagonist,71.0556,-80.0771,SIGMA
4181,144207734,61144,C(=O)(C(Cl)(Cl)Cl)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4182,144207735,12530,CCCCCCCCCCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4183,144207736,8186,CCCCCCCCCCC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4184,144207737,25015,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4185,144207738,14138,CCCCCCCOC(=O)C1=CC=C(C=C1)O,Active,54,,,active antagonist,active antagonist,10.0778,-104.929,active agonist,43.3211,101.423,active antagonist,12.6872,-84.2836,inconclusive antagonist,,-34.9661,SigmaAldrich
4186,144207739,8348,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4187,144207740,83050,C1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)O,Active,46,,,active antagonist,active antagonist,27.7231,-86.6556,inactive,,0,active antagonist,27.7231,-83.0012,inactive,,0,SigmaAldrich
4188,144207741,8570,COC1=CC(=C(C=C1)C(=O)C2=C(C=C(C=C2)OC)O)O,Active,54,,,active antagonist,active antagonist,7.7507,-94.7852,inactive,,0,active antagonist,9.03665,-98.5496,inactive,,0,SigmaAldrich
4189,144207742,73851,CC1=CC(=C(C=C1)O)C(=O)C2=CC=CC=C2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-38.6558,inactive,,0,inconclusive antagonist,65.4118,-45.3612,inactive,,0,SigmaAldrich
4190,144207743,87250,C1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)O,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,65.1481,-74.6542,inactive,,0,inconclusive antagonist,65.1481,-68.1239,inactive,,0,Interchem
4191,144207744,17569,CCCCCCCCCCCCOC(=O)C1=CC=C(C=C1)O,Active,60,,,active antagonist,active antagonist,4.19444,-107.264,active agonist,38.8455,35.2586,active antagonist,3.88455,-94.1603,inactive,,0,SigmaAldrich
4192,144207745,16211115,CCN1C=C[N+](=C1)C.C(#N)[S-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4193,144207746,586708,CCCCCCCCCOC(=O)C1=CC=C(C=C1)O,Active,59,,,active antagonist,active antagonist,4.43307,-100.511,active agonist,53.7079,72.5497,active antagonist,6.02613,-75.2337,active antagonist,23.0872,-23.1822,Interchem
4194,144207747,56638112,COC1=CC(=C(C=C1)C(=O)C2=CC(=CC=C2)O)OC,Active,44,,,active antagonist,active antagonist,30.5756,-66.0611,active agonist,48.459,65.7433,active antagonist,52.3248,-42.5361,inactive,,0,SigmaAldrich
4195,144207748,69150,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)O)O,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4196,144207749,23019,CCCCCOC(=O)C1=CC=C(C=C1)O,Active,57,,,active antagonist,active antagonist,8.7404,-118.606,active agonist,26.599,81.1761,active antagonist,9.08235,-109.696,active antagonist,28.7209,-29.963,SigmaAldrich
4197,144207750,16211135,CC[S+](CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Inconclusive,20,,,active agonist,active agonist,63.6514,921.445,inconclusive antagonist,68.7291,-44.305,active agonist,45.0617,572.865,inactive,,0,SIGMA
4198,144207751,53316406,CCN1C=C[N+](=C1)C.CCOP(=O)([O-])OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4199,144207752,6620,CC1=C(C=CC(=C1)C(C)(C)C2=CC(=C(C=C2)O)C)O,Active,57,,,active antagonist,active antagonist,8.87992,-118.111,active agonist,12.071,39.5583,active antagonist,9.58832,-102.812,inactive,,0,SigmaAldrich
4200,144207753,608116,CC(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,Active,49,,,active antagonist,active antagonist,27.6353,-127.336,active agonist,17.4367,115.172,active antagonist,61.8676,-96.4415,inactive,,0,SigmaAldrich
4201,144207754,13065,CC(C)(C1=CC=CC=C1)C2=CC=CC=C2,Inconclusive,5,,,inconclusive,inconclusive antagonist,42.5978,-37.7443,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4202,144207755,6619,CC(C)(C1=CC(=C(C(=C1)Cl)O)Cl)C2=CC(=C(C(=C2)Cl)O)Cl,Active,62,,,active antagonist,active antagonist,5.24314,-121.809,active agonist,17.903,330.846,inconclusive antagonist,61.1306,-75.5952,inactive,,0,Sensient
4203,144207756,84677,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)O)O,Active,51,,,active antagonist,active antagonist,19.2919,-115.345,inconclusive agonist,45.7482,21.6019,active antagonist,20.0466,-112.357,inconclusive antagonist,,-36.1061,SigmaAldrich
4204,144207757,102724,C1CC2C(C1)C3CC2CC3(C4=CC=C(C=C4)O)C5=CC=C(C=C5)O,Active,45,,,active antagonist,active antagonist,41.5664,-113.108,inactive,,0,active antagonist,50.3589,-117.195,inactive,,0,Alfa Aesar
4205,144207758,6799,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Cl)O,Active,46,,,active antagonist,active antagonist,29.0867,-85.0488,inactive,,0,active antagonist,30.2246,-85.8584,inactive,,0,SigmaAldrich
4206,144207759,8633,CC1CCC(C(C1)OC(=O)C2=CC=CC=C2N)C(C)C,Active,48,,,active antagonist,active antagonist,21.3815,-96.1554,inactive,,0,active antagonist,23.0872,-97.2155,inactive,,0,SIGMA
4207,144207760,60196294,CC1=CC=C(C=C1)C=C2C3CCC(C2=O)C3(C)C,Active,42,,,active antagonist,active antagonist,57.3004,-85.7003,inactive,,0,inconclusive antagonist,48.2123,-84.4208,inconclusive antagonist,,-32.0128,SigmaAldrich
4208,144207761,2724552,C1[C@H]([C@@H]([C@@H]([C@@](O1)(CO)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Acros
4209,144207762,222285,C([C@H]([C@H](CO)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4210,144207763,60196371,C[C@]12CCC[C@@]([C@H]1CC[C@@]34[C@H]2C[C@H]([C@H](C3)C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)OC7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4211,144207764,6427,C(C(F)(Cl)Cl)(F)(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4212,144207765,17321,CC1=CC2=C(C=C1)C3=CC=CC=C3C=C2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,61.3171,-72.5717,inactive,,0,inconclusive antagonist,72.8755,-66.2949,inactive,,0,SIGMA
4213,144207766,20353,CC1=C(C(=C(C2=C1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)OC(=O)CCC(=O)O)C,Inconclusive,5,,,inconclusive,active antagonist,24.609,-53.5836,active agonist,29.8145,69.2786,inactive,,0,inactive,,0,SIGMA
4214,144207767,212930,CC(=O)C=CC1=CC=CO1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4215,144207768,23535,CC(=CCCC(C)(C=C)OC(=O)C1=CC=CC=C1N)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4216,144207769,60967,C(C(Br)(Br)Br)(Br)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4217,144207770,7482,C1=CC(=CC=C1CCl)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4218,144207771,18745,CC(C)(C#N)C(C)(C)C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4219,144207772,151932,C1=CC=NC(=C1)C(=O)[O-].C1=CC=NC(=C1)C(=O)[O-].C1=CC=NC(=C1)C(=O)[O-].[Cr+3],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
4220,144207773,16218739,CC1=CC=C(C=C1)S(=O)(=O)[O-].CC(C)C[P+](C)(CC(C)C)CC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Cytec
4221,144207774,3015167,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Br-],Active,75,,,active antagonist,active antagonist,0.184899,-91.403,active antagonist,8.91802,-51.8885,active antagonist,0.192133,-97.4665,active antagonist,29.3045,-109.177,Cytec
4222,144207775,2734160,CCN1C=C[N+](=C1)C.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
4223,144207776,193581,CCN.[N+](=O)(O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4224,144207777,171257,C(CO)N.C(=O)O,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4225,144207778,13379149,CNC.[N+](=O)(O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4226,144207779,22678982,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.C(F)(F)(F)S(=O)(=O)[O-],Active,60,,,active antagonist,active antagonist,2.16458,-86.4122,active antagonist,13.6576,-42.1051,active antagonist,2.33726,-96.0577,active antagonist,27.2505,-99.1073,Io-li-tec
4227,144207780,44630019,CCCC[N+](C)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Inconclusive,20,,,active agonist,active agonist,48.7553,341.528,inactive,,0,active agonist,27.4171,279.429,inactive,,0,Io-li-tec
4228,144207781,2734167,CCCCN1C=C[N+](=C1C)C.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4229,144207782,11243457,CCCCN1C=C[N+](=C1C)C.F[P-](F)(F)(F)(F)F,Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4230,144207783,11832800,CCCCN1C=C[N+](=C1C)C.[I-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4231,144207784,2734244,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4232,144207785,11171745,CCCCN1C=C[N+](=C1)C.C(=[N-])=NC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4233,144207786,2734174,CCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4234,144207787,11492381,CCCCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4235,144207788,12040509,CCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inconclusive agonist,,,inactive,,0,Io-li-tec
4236,144207789,11424151,CCCCN1C=C[N+](=C1)C.C(#N)[S-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4237,144207790,11461044,[B-](F)(F)(F)F.CCCCCCCCCCN1C=C[N+](=C1)C,Active,53,,,active antagonist,active antagonist,3.87277,-67.7198,inactive,,0,active antagonist,3.07625,-62.8282,inactive,,0,Io-li-tec
4238,144207791,22239085,CCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],Active,54,,,active antagonist,active antagonist,1.66962,-56.5017,inactive,,0,active antagonist,1.57622,-49.0449,inactive,,0,Io-li-tec
4239,144207792,53316407,CCCCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,,-1.9293,inactive,,0,active antagonist,21.8665,-63.85,active antagonist,54.9262,-57.5791,Io-li-tec
4240,144207793,2734227,CCCCCCCCCCCCN1C=C[N+](=C1)C.[Cl-],Active,54,,,active antagonist,active antagonist,13.2238,-118.58,active antagonist,31.966,-41.1054,active antagonist,8.67006,-116.088,inactive,,0,Io-li-tec
4241,144207794,10250129,CCCCCCCCCCCCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,Active,58,,,active antagonist,active antagonist,3.71186,-92.3363,active antagonist,30.6379,-42.652,active antagonist,3.18365,-99.5266,active antagonist,0.153553,-21.9871,Io-li-tec
4242,144207795,12991988,CCCC[N+](C)(C)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Inconclusive,20,,,active agonist,active agonist,66.1415,606.691,inactive,,0,active agonist,14.8072,278.819,inactive,,0,Io-li-tec
4243,144207796,2758873,CCN1C=C[N+](=C1)C.F[P-](F)(F)(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4244,144207797,53260965,C[N+](C)(C)CCO.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Inconclusive,20,,,active agonist,active agonist,50.3035,358.226,inactive,,0,active agonist,34.2714,316.038,inactive,,0,Io-li-tec
4245,144207798,2734231,CCCCCCCCCCCCCCCCN1C=C[N+](=C1)C.[Cl-],Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,24.8572,-94.0455,active antagonist,47.7293,-46.3654,active antagonist,24.8572,-100.148,inconclusive antagonist,62.4384,-83.0223,Io-li-tec
4246,144207799,159924,CN.[N+](=O)(O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4247,144207800,2734237,CCCCCCN1C=C[N+](=C1)C.[Br-],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,24.4603,-54.6901,inactive,,0,inconclusive antagonist,23.092,-42.4233,inactive,,0,Io-li-tec
4248,144207801,16211009,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,2.43613,-95.3727,active antagonist,15.3709,-30.2207,active antagonist,2.43613,-94.8091,inconclusive antagonist,6.86594,-55.2478,Io-li-tec
4249,144207802,10197675,CCCN.[N+](=O)(O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4250,144207803,11321106,C[N+]1=CN(C=C1)CC=C.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4251,144207804,10560335,C[N+]1=CN(C=C1)CC2=CC=CC=C2.[Cl-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4252,144207805,11212667,CCCCN1C=C[N+](=C1C)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,Inconclusive,20,,,active agonist,active agonist,16.6477,119.584,inactive,,0,active agonist,16.6477,137.675,inactive,,0,Io-li-tec
4253,144207806,2734241,CCCCN1C=C[N+](=C1C)C.[Br-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4254,144207807,2734176,CCCC[N+]1=CC=CC=C1.F[P-](F)(F)(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4255,144207808,2734238,CCCC[N+]1=CC=CC=C1.[Br-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4256,144207809,2734239,CCCCCC[N+]1=CC=CC=C1.[Br-],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,61.6905,-69.9335,inactive,,0,inconclusive antagonist,38.9241,-53.4885,inactive,,0,Io-li-tec
4257,144207810,2734172,CCCCCC[N+]1=CC=CC=C1.[Cl-],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,23.1154,-35.2184,inactive,,0,inconclusive antagonist,27.4727,-29.2448,inactive,,0,Io-li-tec
4258,144207811,2734177,CCCCCC[N+]1=CC=CC=C1.F[P-](F)(F)(F)(F)F,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4259,144207812,53316409,CCCC[N+]1(CCCC1)C.F[P-](F)(F)(F)(F)F,Inconclusive,5,,,inconclusive,inconclusive agonist,10.2313,35.0235,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
4260,144207813,11076461,CCCC[N+]1(CCCC1)C.[I-],Inconclusive,5,,,inconclusive,inconclusive agonist,,,inactive,,0,inactive,,0,inactive,,0,Io-li-tec
